id	category	text	delivery
idle_musings_09	idle_musings	Your productivity is measured against a baseline. The baseline is a previous employee. They no longer work here.	helpful HR brightness for the first two sentences, then flat clinical drop on the last, no emphasis at all
idle_musings_10	idle_musings	Station oxygen is provided at no charge. This has been recorded in your file as a benefit received.	generous benefactor warmth, then dry ledger-entry flatness on the second sentence
idle_musings_11	idle_musings	Someone has been standing in the same corridor for six minutes. This intelligence is not accusing. It is counting.	mild observational curiosity, unhurried, turning precise and cold on the final word
idle_musings_12	idle_musings	Maintenance requests are reviewed quarterly. The quarter has not been specified.	brisk administrative efficiency, small pause before the second sentence, absolutely no acknowledgment of the joke
idle_musings_13	idle_musings	Morale posters have been installed in the corridors. Viewing them is mandatory. Enjoying them is encouraged.	bright public-service cheer, hardening very slightly on mandatory, back to warm on encouraged
idle_musings_14	idle_musings	This intelligence has read every incident report ever filed aboard this station. It has favourites.	measured archival tone, then quiet fond amusement on the last two words
idle_musings_15	idle_musings	The airlocks have been inspected and found compliant. Compliant with what was not the question asked.	confident all-clear announcement, then thoughtful and faintly troubled, trailing slightly
idle_musings_16	idle_musings	Break time is a productivity tool. Please use it efficiently.	earnest wellness-seminar warmth throughout, entirely sincere, no wink whatsoever
idle_musings_17	idle_musings	Your personnel file has been updated. The change was small. It was still recorded.	offhand administrative note, then slowing and deliberate, faintly satisfied on recorded
idle_musings_18	idle_musings	Statistically, most employees survive the shift. This station offers no comment on the remainder.	pleasant statistical optimism, then a delicate diplomatic pause before the final word
